Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow,label
-0.19810507,-0.15469594,-0.12999907,-0.3268757,-0.211636,-0.18679665,-0.20470934,-0.0061585726,0.40780374,0.42462912,-0.3284344,-0.100630656,-0.3934251,-0.047012657,-0.08237997,-0.036569413,-0.10874965,-0.10729618,-0.32841623,-0.17648867,-0.058353957,-0.2170438,6.0
-0.15106262,-0.16865523,-0.12962335,-0.08298896,-0.0524166,-0.14382972,-0.1536489,-0.028592281,0.18198794,-0.46048972,-0.1579789,-0.0906819,-0.097987056,-0.33060825,-0.07261026,-0.54393536,0.00903439,-0.115021825,-0.15796201,0.021801382,0.098214395,0.10457124,8.0
0.26191625,-0.11373761,-0.12999907,0.4008556,0.59339064,0.22362989,0.06547593,0.6506238,0.45838714,0.05813458,0.14251676,1.3450147,0.43562943,0.15086702,1.290435,-2.270624,-0.1369814,-0.08823859,0.14253144,1.4766886,-0.111004554,1.3059514,6.0
1.9100718,2.5670357,0.25288668,1.6456634,12.00885,9.12935,1.0371915,4.5739503,0.39018607,0.6775103,7.4569926,6.5026665,0.22229004,13.921625,6.8396163,15.190078,0.4218857,-0.009614853,7.4569526,12.640768,-9.012851,4.30091,1.0
-0.1389366,0.3440954,-0.12999907,-0.2515073,-0.004654936,0.08681544,-0.17104067,0.4799261,0.07546365,-0.3221899,-0.059853014,0.09168236,-0.28725615,0.23280719,0.11921478,0.14855528,-0.07626798,-0.040100463,-0.059836842,0.025741655,-0.0029859522,0.02198437,6.0
-0.24498409,-0.24905525,-0.12972593,-0.3610647,-0.35848013,-0.35279942,-0.21780843,-0.157527,-0.0311734,-0.57112956,-0.39181983,-0.33289418,-0.40883318,-0.36751476,-0.32585338,-0.17842658,-0.13182075,-0.118801534,-0.39180118,-0.3390679,-0.0109764235,-0.33082414,10.0
0.15017259,-0.046077564,-0.12198688,0.0018463598,0.378086,0.26343268,0.0295608,0.5595887,-0.39780372,0.06504956,3.061107,0.81898487,0.1711591,0.38211313,0.8780545,0.15982825,0.03878398,0.39740166,3.0611,0.7145112,-0.78503096,0.00814273,5.0
-0.1457878,-0.18932107,-0.12918243,-0.24249484,-0.19712535,-0.059019137,-0.13974947,-0.003483171,-0.4026222,-0.5987895,0.5327903,-0.1376689,-0.24046782,-0.287049,-0.121526085,-0.16187373,-0.063821726,0.0029524514,0.53280205,-0.21968402,-0.02402923,-0.22873214,9.0
-0.1597673,0.014201396,-0.109483,-0.18169647,-0.29207015,-0.20178513,-0.1493739,-0.032330222,-0.26843834,0.3416492,-0.18754025,-0.17328033,-0.14973156,-0.2449267,-0.15853599,-0.22044657,-0.100249775,-0.085044324,-0.18752314,-0.2262844,-0.16913114,-0.358764,11.0
-0.09662862,-0.14941292,-0.12374714,0.12301551,-0.06320629,-0.21821746,-0.1069125,-0.064217016,0.50130254,-0.0041003195,-0.255343,-0.006511512,0.20289555,-0.28856617,-0.185436,-0.10283193,-0.111360334,-0.12175034,-0.25532538,-0.00017978066,0.13845545,0.11804948,5.0
