Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,Total debt/total asset,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Book Value Per Share,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Earnings Per Share from Operations,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow
18141,193,112,11695,1952,1952,16955,-1592,0.644672289,1.069949867,0.107601566,0.117484201,0.117484201,0,16615,785,779,4985.0159,6.6171,651,-146,108.989,276,1.48,16615,687,715,1402
818.251,1.211,80.19,340.194,92.346,266.511,589.741,116.312,0.415757512,1.38747518,0.112857791,0.218455937,0.075694932,0.41,1219.976,228.51,18.864,695.798,7.4419,228.51,24.689,1.478,303.83,1.35,1219.976,25.769,21.142,46.911
6681.1,199.4,397.4,2084.5,881,2376.5,4826.2,1316.8,0.311999521,1.384339646,0.131864513,0.414964205,0.153832722,0.66,5727,1854.9,64.3,10253.828,6.8774,1851.4,228.6,17.4,708.5,1.87,5727,634.1,119,753.1
24916,2403,166,6480,2133,2644,11827,764,0.260073848,2.106704997,0.085607642,0.362589139,0.292512342,0.225,7292,13089,384,9424.863,20.6028,10274,212,13.7,1972,1.01,7292,1438,-65,1373
1020.122,85.052,11.648,172.498,169.969,282.617,394.664,230.624,0.169095461,2.584786046,0.166616346,0.252693989,0.151972969,0,1118.416,625.458,11.231,801.3028,7.4465,625.458,79.77,2.478,196.556,0.94,1118.416,89.173,-49.158,40.015
22553,1183,68,6103,2434,3435,12228,7368,0.270607015,1.844373569,0.107923558,0.696613263,0.493611843,0.68,4931,10325,326,17297.389,28.3115,10325,1241,2.735,105,3.36,4931,3506,1025,4531
33241,973,102,9204,4526,4526,20833,9950,0.276886977,1.595593529,0.136157155,0.389366827,0.389366827,2.22,11624,12408,576,33786.1864,40.2543,12408,1983,29.482,236,6.44,11624,2852,-1320,1532
24866.3,25.4,1843.5,8155.9,1821.3,1821.3,18691,1443.4,0.327990091,1.330388957,0.073243707,0.281473125,0.281473125,1.02,6470.6,6175.3,451.6,13406.2895,19.5398,6175.3,523,8.982,615.9,1.68,6470.6,1319.6,795.6,2115.2
36957.884,79.608,1277.226,11499.634,2967.175,2967.175,26743.402,3112.819,0.311155098,1.381944002,0.080285305,0.25390559,0.25390559,1.18,11686.135,10214.482,566.608,18165.9294,20.1974,10214.482,1019.442,11.691,597.183,2.03,11686.135,2648.192,441.523,3089.715
26572,3863,3,5925,3583,5988,19337,7036,0.222979076,1.374153178,0.134841186,0.250502008,0.149891232,2.71,23904,7235,282,29320.2927,36.3696,7235,-303,64.3,742,9.43,23904,2593,-3235,-642
3064.945,9.534,274.7,621.7,222.158,222.158,2297.624,392.204,0.202842139,1.333962824,0.072483519,0.287444008,0.287444008,1.845,772.874,767.321,44.563,1361.4716,28.1235,767.321,54.974,1.084,97.852,2.16,772.874,215.657,-71.271,144.386
4973.943,20.362,269.57,1690.261,301.794,301.794,3496.16,255.992,0.339823154,1.422687463,0.060675002,0.25047993,0.25047993,1.6,1204.863,1477.783,77.802,2654.4507,31.4992,1477.783,109.204,1.604,55.094,3.43,1204.863,250.039,960.715,1210.754
15615.927,1024.144,226.011,4381.6,2106.251,2630.949,7540.809,7232.506,0.280585328,2.07085566,0.134878384,0.124659153,0.099798007,1.48,21105.141,8075.118,177.088,15648.5687,24.3626,7772.47,559.158,23.6,2745.032,2.31,21105.141,1342.898,-359.047,983.851
56259,3789,0,6838,3480,5133,21300,35710,0.121544997,2.641267606,0.06185677,0.265793289,0.18019884,2.8,19312,34959,77,62118.5497,45.3656,34959,562,11.7,1052,-1.34,19312,11068,-2202,8866
3511.701,430.714,0,750,858.109,1088.98,1854.081,2057.188,0.213571714,1.89403861,0.244357079,0.297566089,0.2344801,1.03,3659.624,1657.62,5.42,5858.2405,16.6406,1657.62,297.865,12.4,375.588,4.02,3659.624,721.762,45.36,767.122
52166,85,2603,19176,2495,2495,39744,2531,0.367595752,1.312550322,0.047828087,0.165791747,0.165791747,1.44,15049,12422,1073,16418.806,29.494,12420,261,15.557,817,0.91,15049,2713,513,3226
9527.8,5.5,98,2755.3,818.2,818.2,6283.4,2156.8,0.289185331,1.516344654,0.085875018,0.333537157,0.333537157,0.925,2453.1,3244.4,150.8,7074.712,16.2708,3244.4,382.6,3.329,137.4,1.99,2453.1,721.6,-163.8,557.8
2698.1,256.8,16.4,658.7,360.9,527.1,1684.8,147.6,0.244134761,1.601436372,0.133760795,0.235186507,0.161029805,0.8,2241.2,1013.3,34.5,1762.398,13.0917,1013.3,27.7,3.9,210.1,1.57,2241.2,159.2,-148.5,10.7
15304.56,172.812,1065.946,7192.929,1431.656,1431.656,11298.677,1.775,0.469986004,1.35454443,0.093544408,0.11739609,0.11739609,2.125,12195.091,4005.883,410.976,10372.3524,2.8423,592.115,296.352,2.269,,1.53,12195.091,1285.61,1304.499,2590.109
1791.279,0,11.055,498.489,160.405,160.405,1218.513,108.24,0.278286632,1.470053253,0.089547748,0.200691388,0.200691388,1.21,799.262,572.766,30.337,1152.2693,15.3895,572.766,54.788,1.893,85.203,1.61,799.262,111.625,50.864,162.489
2735.406,56.772,5.258,608.551,245.989,1172.966,1744.568,661.764,0.222471911,1.567956079,0.089927784,0.124252477,0.026057654,1,9440.182,990.838,18.163,2214.3877,15.7101,990.838,32.934,7.8,872.457,1.67,9440.182,-3.761,278.56,274.799
7555,67,34,1991,724,1287,3825,255,0.263534083,1.975163399,0.095830576,0.243934799,0.137225171,0.48,5276,3730,114,4218.418,31.3413,3692,-27,14,817,2.02,5276,441,-142,299
7858,512,488,2972,1075,1646,6583,-1430,0.378213286,1.193680693,0.136803258,0.242629717,0.158461085,0,6784,1275,210,4431.677,7.0525,1158,-298,21.1,1035,2.7,6784,675,-70,605
17583,686,481,3544,2417,6643,12318,12382,0.201558323,1.427423283,0.137462322,0.431083712,0.156846204,2.62,15410,5265,203,31432.2393,38.0933,5180,1246,44.4,1825,9.88,15410,1528,-969,559
60127,151,633,15050,5232,5232,44127,5327,0.250303524,1.362589798,0.087015817,0.306143944,0.306143944,1.82,17090,16000,779,25337.6081,33.0775,15742,1397,22.581,476,3.52,17090,3677,892,4569
39732,570,2202,12167,2938,2938,27632,8842,0.306226719,1.437898089,0.073945434,0.26624377,0.26624377,2.61,11035,12100,615,27431.4202,46.06,11346,893,17.046,396,4.81,11035,2161,854,3015
1520.659,108.456,10,605,261.537,299.303,854.445,-24.663,0.397853825,1.779703784,0.171989249,0.308978986,0.269992072,0,968.684,666.214,45.465,374.6812,5.4277,662.431,21.065,3.443,47.943,0.33,968.684,202.467,-69.125,133.342
13274.362,1613.555,816.622,1508.142,1829.948,3425.066,6611.554,8350.691,0.113613144,2.007752187,0.137855816,0.259161132,0.138464892,2.07,13215.971,6662.808,82.566,18721.5742,44.7233,6659.428,1325.383,57.447,1371.681,7.05,13215.971,1387.893,-958.115,429.778
47535,1343,14,1487,829,829,42481,3639,0.031282213,1.118970834,0.017439781,0.145566286,0.145566286,1.91,5695,5054,74,5325.6905,55.6271,4879,619,7.2,0,5.1,5695,1222,2101,3323
48864,1751,3001,18856,4631,4631,35236,4188,0.385887361,1.386763537,0.094773248,0.400466966,0.400466966,1.485,11564,13628,1024,24190.2942,20.4671,13628,1028,17.391,836,2.66,11564,3403,583,3986
10655.2,110.4,6.7,2997.4,1203.2,2715.7,5991.4,1663.7,0.281308657,1.778415729,0.11292139,0.385807643,0.170933371,1.1,7039,4663.8,72.3,12117.7976,25.5632,4663.8,-121.8,28.4,1130.4,3.64,7039,1008.4,-995.1,13.3
70509,6134,5076,23821,12658,38240,52961,38423,0.337843396,1.331338154,0.179523181,0.573459502,0.189823493,2.445,66683,17548,909,140705.28,11.7115,17426.655,971,271,3143,4.62,66683,10506,-8264,2242
3773.315,135.583,81.292,784.067,295.406,559.158,2407.81,290.893,0.207792617,1.56711493,0.07828819,0.124470067,0.065758166,0,4492.309,1365.505,45.952,1171.511,28.0558,1365.505,99.696,10.939,726.402,2.3,4492.309,-56.678,99.295,42.617
2340.588,16.066,0,664.923,511.505,588.011,1203.229,448.702,0.284083743,1.945255641,0.218536966,0.686762664,0.597408103,0,856.207,1137.359,51.31,1481.8406,31.676,1137.359,155.435,0.343,0.8,3.73,856.207,236.689,60.269,296.958
1376.08,6.27,0,543,166.792,209.963,779.012,293.986,0.394599151,1.766442622,0.121208069,0.251070826,0.199447547,0,836.27,597.068,29.51,574.9584,38.5653,597.068,32.501,2.844,73.793,3.29,836.27,119.519,130.867,250.386
169274,3343,5141,31541,19781,41832,97652,64861,0.186331037,1.733441199,0.116857875,0.843302086,0.398770285,1.04,49605,71622,1401,195964.65,11.3292,71272,5090,78.3,5663,1.67,49605,16883,-9986,6897
86814,1878,2262,20010,5658,5658,62681,8226,0.230492778,1.385013002,0.06517382,0.206278027,0.206278027,1.24,27429,24133,1144,31882.6076,26.2935,22608,1176,28.993,1603,1.99,27429,4457,411,4868
34475,3321,1000,13693,7827,10348,31430,23595,0.397186367,1.09688196,0.227034083,0.576650878,0.436166063,1.96,17945,3010,857,97134.524,1.5288,3014,3766,9,2040,2.59,17945,4663,-4694,-31
116539,5062,182,22383,17627,20407,64266,42602,0.192064459,1.813384994,0.151254087,0.388527149,0.335598964,2.84,52524,52273,1164,85037.2382,42.1577,51911,2965,19.1,1331,4.9,52524,16735,-2574,14161
6485.693,1079.145,324.879,2927.127,849.616,2337.947,6112.064,4051.552,0.451320622,1.061129759,0.130998492,0.611787139,0.222325032,0.75,3821.504,77.259,95.291,4899.0524,0.3816,76.71,62.155,15.2,84.827,1.92,3821.504,655.526,-311.844,343.682
8951.4,983.5,60,1998.1,-7.2,277.2,4059.6,-9983.7,0.22321648,2.204995566,-0.000804343,0.079969997,-0.002077143,0,3466.3,4891.8,114.7,3227.7043,4.2313,4843,-1176.1,9.3,1276.7,-1,3466.3,849.3,-94.2,755.1
1035.421,4.644,22.87,606.473,157.906,202.561,810.355,-161.98,0.585725999,1.277737535,0.15250415,0.333735893,0.260163111,1.425,606.95,225.066,22.995,1700.1314,5.5428,225.066,70.238,0.887,31.49,2.21,606.95,131.372,250.369,381.741
144266,8558,15606,19811,19433,44122,74290,77328,0.137322723,1.941930273,0.134702563,0.531193566,0.233957766,2.5323,83062,69976,709,213042.2435,25.6171,69443,11472,118,6759,4.39,83062,13958,-7279,6679
5829.325,,438.666,1642.024,475.531,475.531,4022.704,547.701,0.281683385,1.449106124,0.081575654,0.331183624,0.331183624,0.74,1435.853,1806.621,125.427,2360.148,21.6128,1721.546,113.167,1.881,63.628,1.48,1435.853,414.876,96.194,511.07
35333,402,883,8261,3850,3850,23147,7944,0.233804092,1.526461312,0.108963292,0.353665258,0.353665258,1.48,10886,12186,389,20946.7102,24.0888,12185,1330,12.689,1022,3,10886,3160,-359,2801
8569.41,1292.862,376.693,1621.486,813.911,1404.859,3764.456,1728.263,0.189217927,2.276400627,0.094978651,0.241286742,0.139790494,0.2,5822.363,4804.954,132.293,7928.5901,13.0054,4804.954,474.443,4.149,4990.287,1.44,5822.363,309.249,-529.092,-219.843
27900,3222,0,5330,3658,5970,18179,8213,0.191039427,1.534737884,0.131111111,0.261543854,0.160255849,2.365,22826,9721,213,33240.641,30.9958,9525,-101,61,4139,6.81,22826,2184,-936,1248
8399.7,75.4,3122.2,2103.4,909.1,2988.7,6327.6,3756.6,0.250413705,1.327470131,0.108230056,0.156404379,0.047574939,0,19108.8,2072.1,141.2,6845.2383,18.2865,2072.1,418.7,24,2899,3.52,19108.8,485.1,-102.9,382.2
6229.5,1191.3,325,905.6,1336.3,2906.4,3571.4,3891.6,0.145372823,1.744273954,0.214511598,0.438801238,0.20175134,2.39,6623.5,2658.1,59.3,15020.596,19.4448,2658.1,696.5,22.5,588.4,5.95,6623.5,1033.3,-521.8,511.5
26522,176,1805,13824,4975,4975,21041,5007,0.52122766,1.260491422,0.187580122,0.387159533,0.387159533,1.8075,12850,5481,794,23321.9191,10.648,5481,1753,27,251,2.89,12850,3698,128,3826
9675.986,50.092,12.207,4500.275,1502.402,2304.039,7856.512,830.626,0.465097304,1.231588013,0.155271204,0.347057906,0.226307146,1.42,6638.774,1819.474,142.075,4924.764,34.3038,1819.474,36.553,30.6,66.007,5.46,6638.774,1368.266,198.652,1566.918
16852,137,1084,5531,1391,1391,11865,2609,0.328210301,1.420311842,0.082542131,0.280953343,0.280953343,2.0825,4951,4987,328,8619.08,34.9474,4987,523,5.886,361,3.79,4951,730,586,1316
66904,3130,2765,10565,13229,14921,28855,37127,0.15791283,2.318627621,0.197731077,0.307142857,0.272313709,1.5125,48580,38049,369,108924.3979,29.679,37850,3786,120,4628,5.62,48580,11219,-5896,5323
8041.7,322.6,131.5,4282.5,1038.2,2835.4,6878.9,-165.3,0.532536653,1.169038654,0.129102056,0.365834462,0.133952648,0.52,7750.5,1162.8,298.9,8932.8728,5.5232,1162.8,-78.3,24,707.6,1.99,7750.5,-201.9,-304.1,-506
11923.644,177.335,118.729,2963.794,734.878,852.455,10546.266,-22.445,0.248564449,1.130603381,0.061631998,0.284719968,0.24544925,0.34,2994.012,1377.378,177.571,4650.4809,6.681,1368.726,143.442,23.662,29.697,1.08,2994.012,318.716,-537.967,-219.251
5706.052,40.732,682.701,1122.715,1519.043,5342.009,4709.582,1952.716,0.196758635,1.211583533,0.266216116,0.479985009,0.136487578,2.2,11129.533,996.47,64.205,24910.9402,10.5219,996.47,714.973,39.674,1033.527,8.74,11129.533,1081.528,-1467.075,-385.547
4310.1,132.9,62.3,882.8,770.7,1884.4,2084.8,2389,0.204821234,2.067392556,0.178812557,0.539540743,0.220666552,1.85,3492.6,2225.3,52.9,7946.3716,37.9915,2207.8,218.5,11.4,475.5,7.33,3492.6,397.9,-206.9,191
4193.911,161.168,52.28,1200.885,606.261,1106.604,2690.064,1084.04,0.286340125,1.559037629,0.144557431,0.220571123,0.120841484,1.27,5016.994,1503.847,55.14,4396.3511,14.7927,1488.195,-13.066,20.8,420.276,2.43,5016.994,417.915,39.463,457.378
3349.425,4.171,395.609,879.15,190.607,190.607,2416.993,408.96,0.262477888,1.385781837,0.05690738,0.214890484,0.214890484,1.92,886.996,932.432,34.16,2013.4613,27.2904,932.432,87.548,0.7,65.371,2.95,886.996,161.332,214.04,375.372
1171.589,34.924,0.027,455.053,264.429,369.259,676.525,19.223,0.388406685,1.731774879,0.225701163,0.349934564,0.250590633,0,1055.223,495.064,39.486,353.5628,7.7572,495.064,-38.018,3.4,14.117,-0.44,1055.223,233.041,-73.584,159.457
50186,132,1802,10437,4349,4349,37198,8515,0.207966365,1.349158557,0.086657634,0.32423768,0.32423768,1.42,13413,12982,585,21334.1043,33.6391,10960,1567,13.69,281,4.6,13413,3248,645,3893
1378.298,75.988,0.292,325.798,160.063,238.386,871.497,253.602,0.236377039,1.581529254,0.116130909,0.511787475,0.343636953,0.831,465.791,506.801,21.641,1441.8884,13.2369,506.801,61.058,0.707,38.123,1.57,465.791,163.27,-51.449,111.821
70923,710,4411,20841,6455,6455,49583,9481,0.293853898,1.430389448,0.091014198,0.349542427,0.349542427,2.0825,18467,21340,835,44580.9285,21.9757,19949,1910,26.369,1969,2.78,18467,5815,644,6459
20200,1282,258,2434,3289,5494,13425,6678,0.12049505,1.504655493,0.162821782,0.295296963,0.176780435,0.2,18605,6775,119,28591.1381,10.0282,6775,401,46.278,342,1.79,18605,2902,-1248,1654
292829,8603,6056,76011,31689,71386,205905,35796,0.259574701,1.422155849,0.108216741,0.538977855,0.239257967,1.84,132447,86924,3847,174228.4077,16.6515,86370,6404,243.62,1933,1.57,132447,31338,-7737,23601
15849.1,496.6,7.5,3839.8,1803.6,4367.9,9337.2,2656.1,0.242272432,1.697414643,0.11379826,0.385223925,0.159067257,2.04,11338.6,6511.9,177.2,15096.57,40.9171,6429.1,-10.3,50.4,1562.7,5.8,11338.6,1295.9,-766.2,529.7
17713,1795,727,3246,1843,6602,9118,7305,0.183255236,1.94264093,0.104047874,0.682377261,0.190490956,1.22,9675,8595,113,35656.74,22.7381,8595,29,26,1588,2.78,9675,1782,629,2411
13167.95,413.046,375.752,2384.167,2264.306,8717.035,7901.255,8128.088,0.181058327,1.666564362,0.171955847,0.187395769,0.048677258,1.16,46516.712,5266.695,124.838,21950.3813,8.9856,5266.695,735.807,50.3,2602.018,1.75,46516.712,1492.815,-915.858,576.957
36839,2029,428,8013,2526,2854,18003,11948,0.217514048,2.046270066,0.068568636,0.331899058,0.293755088,0.9,8599,18836,401,9172.8933,32.2938,18606,511,10.2,1752,0.64,8599,2278,-985,1293
6582.6,269.5,17.8,1509.1,263.5,535.3,3861.2,1467.5,0.229255917,1.704806796,0.040029775,0.126746223,0.062390491,0.72,4223.4,2709.3,115.1,3779.8815,23.9019,2598.4,-220.8,9.7,1472.8,0.2,4223.4,55.9,-497,-441.1
3977.255,303.236,368.401,700,405.693,1040.861,2063.556,1566.95,0.176000784,1.927379242,0.102003266,0.56573698,0.220505459,1.36,1839.832,1913.699,65.458,4758.026,46.1234,1911.309,37.639,11.7,335.593,4.93,1839.832,286.565,-287.703,-1.138
8906.939,471.901,0.808,1993.586,610.736,2476.543,4450.778,2336.639,0.22382392,2.001209451,0.068568562,0.494375417,0.121917069,0.536,5009.438,4455.011,111.397,2724.4498,36.3885,3926.278,-151.208,10.6,273.707,-0.73,5009.438,394.812,156.819,551.631
4010,282,60,1069,787,1432,3437,-2240,0.266583541,1.166715159,0.196259352,0.170071259,0.093467933,0,8420,538,96,3465.0415,8.1197,497,41,29,688,4.92,8420,341,20,361
16584,1000,6,4254,2026,2368,9608,4493,0.256512301,1.726061615,0.122165943,0.059108382,0.050571614,1.1,40062,6976,203,9290.776,35.6434,4454,746,5.6,2439,6.96,40062,1364,1570,2934
17722,1199,1001,3641,5135,8336,7332,29121,0.205450852,2.417075832,0.28975285,0.639018781,0.393637409,1.24,13045,10390,94,55957.9126,9.9271,10390,2817,31.003,1784,2.58,13045,3892,-3943,-51
14605,822,136,3738,1537,2898,10333,3117,0.255939747,1.413432691,0.105237932,0.208819715,0.110750829,0.08,13878,4272,191,11646.868,15.4457,4272,121,34,3963,2.45,13878,1208,335,1543
42852.1,1343.5,2212.4,12351.6,4044.5,9501.6,22304,9121.9,0.288237916,1.921274211,0.094382772,0.56257105,0.239466891,0.6,16889.6,20548.1,479.9,50174.8863,51.31,20548.1,686.6,51,1859.5,4.74,16889.6,2619.6,4796.1,7415.7
2534.919,73.884,6.301,1389.215,336.892,647.847,1873.479,-761.745,0.548031318,1.353054398,0.132900499,0.550987291,0.286523223,1.93,1175.793,223.895,73.057,4010.2747,2.4091,223.895,49.09,40.9,21.099,0.73,1175.793,392.323,-385.152,7.171
3001.4,278.8,8,522.1,492.5,1035,1412.3,1132.9,0.173952156,2.125185867,0.164090091,0.336454067,0.160100124,1,3076.2,1589.1,30.3,3781.1066,17.7917,1576.2,86,16.345,585.5,2.81,3076.2,307,-202.2,104.8
20214.73,66.019,238.398,992.13,864.589,864.589,15517.264,4374.298,0.049079557,1.302725145,0.042770247,0.218079764,0.218079764,0.4934,3964.554,4697.466,76.126,,36.719,4697.466,1329.41,2.98,0,4.17,3964.554,864.708,-499.96,364.748
1192.415,314.873,27.458,347.316,317.881,827.486,783.688,353.049,0.291271076,1.521543012,0.266585878,0.380668958,0.146235017,0.8,2173.768,408.727,17.136,3437.0029,7.3409,408.727,170.735,6.134,274.603,3.09,2173.768,182.365,17.017,199.382
3733.581,289.183,50.911,1405.106,647.363,913.191,2011.445,1954.444,0.376342712,1.856168575,0.173389301,0.373206745,0.264567038,0.4,2446.877,1699.644,41,6280.5284,9.1531,1692.762,307.197,9.9,14.34,1.62,2446.877,560.201,-316.473,243.728
11396.455,1455.183,4.088,3490.897,592.965,1173.93,6201.024,671.677,0.306314288,1.837834364,0.052030653,0.602213343,0.304184606,0,1949.359,5195.431,157.866,5808.4714,53.4669,5195.431,291.527,7.6,0,2.09,1949.359,378.455,-282.967,95.488
8733.8,887.9,183.1,3369.9,1399.9,1794.8,5336.4,2378,0.385845794,1.636646428,0.160285328,0.29089141,0.226888169,0.35,6170,3397.4,193.4,4358.356,19.2539,2995.9,644.2,22.07,1068.4,4.39,6170,819.2,454.9,1274.1
23956,438,643,7535,2109,3293,15052,5601,0.314534981,1.591549296,0.0880364,0.087626397,0.056120277,0.325,37580,8904,132,14803.12,23.6436,8890,825,124,3274,3.09,37580,1178,6915,8093
37353,2002,1423,10692,4495,9638,34957,-4962,0.286242069,1.068541351,0.120338393,0.247757127,0.115549729,0,38901,2396,735,25052.0441,6.3974,2396,-555,84,666,4.42,38901,2634,-1596,1038
3994,228,4,2205,469,795,3586,-2621,0.552078117,1.113775795,0.117426139,0.213480129,0.12593985,0,3724,408,182,4052.0563,2.8114,407,-325,8.9,329,1.25,3724,172,-66,106
22676,5,834,6120,1999,1999,15821,1094,0.269888869,1.433284875,0.088154877,0.330249463,0.330249463,1.61,6053,6855,341,11191.138,27.6711,6713,574,8.527,524,2.42,6053,1551,141,1692
52716,1586,462,11018,10657,10657,31527,26157,0.209006753,1.672090589,0.202158737,0.444263799,0.444263799,1.805,23988,21189,561,105235.3916,23.9867,21189,4720,47.201,712,5.76,23988,7385,-2982,4403
4473.728,1.049,3.41,834.629,603.158,645.181,2141.334,1854.539,0.186562303,2.089224754,0.134822233,0.41017417,0.383458025,0,1572.944,2332.394,49.571,1691.1554,47.0298,2332.394,136.276,1.88,5.59,2.8,1572.944,708.993,194.06,903.053
6846.534,15.224,520.934,3062.171,137.932,185.732,3828.104,-1537.772,0.447258569,1.788492162,0.020146252,0.225704765,0.167617372,1.015,822.898,2735.95,150.511,,10.5385,2688.526,150.606,1.582,0,0.58,822.898,392.36,-113.725,278.635
86382,7495,1399,16007,11752,33433,52540,32444,0.185304809,1.644118767,0.136046862,0.256242623,0.090071585,1.405,130474,32454,618,,34.0189,32454,5135,170,0,5.78,130474,8051,-5293,2758
35471,2291,923,9864,8014,8014,33313,2132,0.278086324,1.064779516,0.225931042,0.137621926,0.137621926,2.68,58232,2158,364,100335.2606,2.3657,2141,-102,435,344,4.09,58232,5726,-5161,565
9995.2,171.8,50.6,8465.4,312.3,937,9991.3,-565.1,0.846946534,1.00039034,0.031244998,0.524518585,0.174820869,0,1786.4,3.9,307.2,1083.323,0.0458,3.9,-347,9,265.6,-2.06,1786.4,203.5,3157.4,3360.9
8974.443,32.069,68.319,3210.215,1471.9,1471.9,4943.811,3734.959,0.357706322,1.815288449,0.164010179,0.182569709,0.182569709,0.3,8062.126,3791.08,134.175,10983.1654,37.8454,3735.946,544.921,68.7,108.115,6.02,8062.126,1035.876,-187.424,848.452
9980.14,971.895,25.797,1423.581,2048.59,6208.475,4349.258,2529.481,0.142641386,2.294676471,0.20526666,0.505487186,0.166793938,1.1075,12282.161,5630.882,86.725,32421.214,13.0086,5630.882,556.953,59,1482.804,3.13,12282.161,1697.629,-1107.421,590.208
4033.951,128.203,606.356,950.035,701.958,1668.427,3022.86,1887.331,0.235509802,1.334481584,0.174012525,0.36892317,0.155217202,1.08,4522.424,1011.091,65.33,6754.6201,12.2984,1011.091,272.312,10.513,486.262,4.47,4522.424,347.104,-312.731,34.373
3298.773,592.172,0.018,454.922,405.894,772.096,1467.896,-244.625,0.137906428,2.24727978,0.123043932,0.309670547,0.162795063,0.24,2493.282,1830.877,24.457,2086.4741,12.3792,1825.366,-13.145,22.6,424.594,0.96,2493.282,297.037,27.729,324.766
8061.902,141.273,150.137,1855.447,597.282,867.079,3885.203,1310.131,0.230150032,2.075027225,0.074086983,0.289589198,0.199481726,0.22,2994.169,4176.699,172.51,8670.2471,31.664,4176.699,142.84,6.941,321.804,0.87,2994.169,260.336,-551.132,-290.796
718.243,0,11.888,189.063,94.958,312.605,469.727,135.886,0.263229854,1.529064755,0.132208737,0.215391643,0.065428127,2.4,1451.333,248.516,12.982,516.2898,14.8111,248.516,40.711,2.725,323.764,2.58,1451.333,52.909,-59.35,-6.441
37182,2646,790,4212,4999,22897,16621,22402,0.11328062,2.237049516,0.134446775,0.299730338,0.065438789,1.305,76392,20561,162,57517.4212,21.5249,20457,2208,251,6076,3.2,76392,3893,-1622,2271
4856.499,8.811,473.5,679.228,310.194,310.194,3581.75,708.797,0.139859598,1.355901166,0.063871937,0.111542579,0.111542579,1.74,2780.947,1274.749,37.738,2133.6728,24.6104,1246.689,110.347,1.444,357.249,2.07,2780.947,382.167,45.227,427.394
5752.319,772.751,46.375,399.545,647.248,1972.806,2579.13,6461.986,0.069458074,2.230333097,0.11251949,0.558051871,0.183088432,10.2,3535.166,3151.285,36.586,5008.6543,541.5242,3140.299,1047.829,14.5,11.309,47.03,3535.166,372.37,-388.616,-16.246
4712.331,22.143,112.855,1543.609,382.768,382.768,3229.089,483.711,0.327568034,1.459337603,0.081226892,0.259933368,0.259933368,1.27,1472.562,1483.242,75.752,2200.2901,23.8368,1483.671,189.972,1.874,66.356,1.94,1472.562,267.268,-223.963,43.305
1829.578,14.258,52.712,932.075,161.164,249.107,2179.023,-593.198,0.50944808,0.839632257,0.088088073,0.223215758,0.144413222,0,1115.992,-349.445,84.234,567.9906,-21.8601,-373.873,-232.96,3.44,133.855,-7.15,1115.992,50.353,338.706,389.059
37071,1333,1908,12800,3561,13725,22822,6212,0.345283375,1.624353694,0.096058914,0.312514231,0.081082927,1.67,43918,14249,627,12805.6635,50.576,6454,151,200.8,4463,3.76,43918,2851,1172,4023
13457,1580,0,5402,1656,2110,8153,115,0.401426767,1.650558077,0.123058631,0.285019587,0.223693097,1.02,7403,5304,344,18823.3719,8.7974,4614,1119,12.8,595,1.26,7403,1088,-704,384
20002,1026,803,3544,2029,3922,14206,4369,0.177182282,1.407996621,0.101439856,0.197363124,0.102103462,2.875,19872,5796,165,15111.72,62.6282,4885,108,100,2740,11.81,19872,1479,705,2184
50563,240,802,20888,2502,3129,30391,-5889,0.413108399,1.663749136,0.049482823,0.409715857,0.327615556,1.9575,7637,20172,879,33570.18,11.7497,8777,1957,6.742,231,0.37,7637,2115,7601,9716
15163.4,61.9,1041.7,4186.4,1518.1,1518.1,10713.3,4117.3,0.276085838,1.415380882,0.100116069,0.303796202,0.303796202,1.56,4997.1,4450.1,244.5,11893.7666,19.5981,4419.7,588.3,4.248,400.6,2.67,4997.1,1197.7,-405,792.7
2504.5,223.8,46.7,854.1,325.4,1140.6,1566.5,802.7,0.341026153,1.598787105,0.129926133,0.41309623,0.117851581,0.24,2761.1,938,45.4,3001.1069,9.1667,933.5,92.8,6.6,414,1.65,2761.1,314.6,-270.4,44.2
27658,,1427,6314,2864,7208,16600,5332,0.228288379,1.666144578,0.10355051,0.36888434,0.146571136,0.245,19540,11058,377,15478.0857,9.5662,10683,-411,147.5,934,1.02,19540,2063,-1624,439
1985,171.1,31.1,1078.8,197.2,197.2,2459.3,-2672.8,0.543476071,0.807140243,0.099345088,0.038904672,0.038904672,0,5068.8,-474.3,150,689.7008,-15.4661,-474.3,-185.5,33,14.2,-3.34,5068.8,28.5,7.9,36.4
304.339,1.488,0.043,84.842,28.009,36.821,199.776,27.007,0.278774656,1.523401209,0.09203224,0.802200436,0.610217865,0.5724,45.9,104.563,5.087,297.8075,8.1492,104.563,11.484,0.107,0.771,0.88,45.9,18.766,-10.721,8.045
