Assets - Total,Cash,Debt in Current Liabilities - Total,Long-Term Debt - Total,Earnings Before Interest,Gross Profit (Loss),Liabilities - Total,Retained Earnings,Total debt/total asset,total asset/total libiilities,EBTI/total asset,gross profit/rev,EBTI/REV,Dividends per Share - Pay Date - Calendar,Sales/Turnover (Net),Stockholders Equity - Total,Interest and Related Expense - Total,Market Value - Total - Fiscal,Book Value Per Share,Common Equity - Liquidation Value,Comprehensive Income - Parent,Employees,Inventories - Total,Earnings Per Share from Operations,Revenue - Total,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow
113327,5560,4609,20649,23037,44074,46219,40853,0.182207241,2.451956987,0.203279007,0.742148955,0.38791318,1.04,59387,67108,868,171557.1,14.0013,66226,10362,106,5553,2.51,59387,21808,-5739,16069
117470,7826,7513,34655,16389,42749,99078,123361,0.295011492,1.185631523,0.139516472,0.534897397,0.205067568,5.5,79920,18392,1208,157004.4633,19.2902,18246,12081,380.3,1553,11.41,79920,16958,-5791,11167
4016.984,323.992,258.516,1066.855,721.5,1487.547,2385.85,3138.44,0.265586072,1.683669971,0.179612366,0.477336307,0.23152085,2.32,3116.35,1631.134,52.989,9333.6678,20.53,1626.244,338.376,6.932,592.017,5.51,3116.35,535.406,-19.694,515.712
5653,804,907,3997,480,1529,10946,-7603,0.707058199,0.516444363,0.084910667,0.188509432,0.059178893,0,8111,-5293,330,1819.68,-64.951,-5300,-136,11.3,944,-1.2,8111,267,-353,-86
33345,1033,239,11075,3324,4871,28986,-544,0.332133753,1.150382943,0.09968511,0.231083068,0.15769249,1.7825,21079,4359,695,21820.6597,10.5558,4341,1250,55,2438,3.13,21079,2478,982,3460
2172.66,263.727,3.404,259.416,212.978,323.816,772.3,962.622,0.119400182,2.8132332,0.098026382,0.491288332,0.323126733,0.41,659.116,1400.36,16.038,1657.0452,31.335,1400.36,77.002,0.792,0,1.46,659.116,245.888,-78.901,166.987
85832,2117,5074,36494,6190,6190,60477,342,0.42517942,1.419250294,0.072117625,0.179108796,0.179108796,2.12,34560,21963,1911,53285.828,14.9834,14131,1495,7.734,1233,3.27,34560,5211,1102,6313
12485.2,1097.6,409.6,1280.7,1098.2,1098.2,10175.7,841.8,0.102577452,1.226962273,0.087960145,0.139958708,0.139958708,0.6,7846.6,2056.7,90.6,9167.356,5.1509,2017.1,491.6,49.8,0,1.41,7846.6,513.4,-666.4,-153
4093.6,115.1,0,1378.8,378.5,1613.5,2801.4,997,0.336818448,1.461269365,0.092461403,0.211667629,0.049653671,0,7622.8,1292.2,79.4,2710.1499,38.6447,1292.2,100.1,8.9,1178.3,4.16,7622.8,278.8,-273,5.8
3894.17,464.617,15.03,408.296,393.951,1115.651,2356.228,1494.566,0.104848016,1.652713574,0.101164305,0.147738523,0.05216841,0.32,7551.524,1537.942,12.627,4241.8497,25.6408,1537.089,157.185,31,168.123,3.1,7551.524,264.561,-9.429,255.132
141208,18972,4684,22442,24964,54004,70790,95650,0.158928673,1.99474502,0.17678885,0.751203227,0.347252747,3.15,71890,70418,828,311817.1323,26.018,70418,14804,126.4,8144,6.5,71890,18767,-8551,10216
4962.432,1108.488,0,3057.936,1047.787,1885.314,4273.318,236.14,0.61621721,1.161259705,0.21114385,0.631703274,0.351077051,2.1,2984.493,689.114,122.887,11426.6338,4.4175,689.114,696.31,5.58,698.635,4.63,2984.493,759.696,-636.702,122.994
80305,684,2696,37354,6167,6167,45503,-7330,0.465151609,1.764828693,0.07679472,0.472277531,0.472277531,0.5,13058,34802,1806,46185.4124,15.4392,34431,508,11.121,357,0.4,13058,4787,-2629,2158
1426.286,41.205,123.848,299.198,149.034,592.192,858.702,403.807,0.209774197,1.660979013,0.104490965,0.32747172,0.082413171,0.72,1808.376,567.584,15.747,1326.3944,20.8716,565.787,42.599,5.265,393.814,2.33,1808.376,107.707,-43.959,63.748
13570,1293.1,889.3,3365.2,997.9,997.9,7408,1112.6,0.247988209,1.831803456,0.073537214,0.372907324,0.372907324,1.0625,2676,6162,168.3,5889.8499,24.7308,5325.8,295.4,2.865,271,1.75,2676,784,2181.3,2965.3
8817.5,170.6,206.7,2271.5,1120.5,1120.5,4413,3127.9,0.257612702,1.998073873,0.127076836,0.480035987,0.480035987,1.32,2334.2,4404.5,98.2,9045.604,38.3071,4083.8,476.6,6.82,152.6,4.41,2334.2,913.3,-251.1,662.2
11487.074,3.066,521.721,3544.307,1030.602,1030.602,7653.884,1078.602,0.308547416,1.500816318,0.089718409,0.402250977,0.402250977,1.5,2562.087,3833.19,171.69,7989.9229,26.8414,3805.875,346.577,2.254,300.125,2.48,2562.087,822.42,190.175,1012.595
15111,280,1070,6700,2257,5448,13185,4996,0.443385613,1.146075085,0.149361392,0.419625664,0.173842717,2.04,12983,1926,257,25877.296,5.4405,1910,495,37.369,1238,3.21,12983,1628,-642,986
2368.793,161.579,1.895,699.558,241.331,720.099,1372.992,428.088,0.295322555,1.725278079,0.101879312,0.343159858,0.115005175,0.8,2098.436,995.801,27.752,1762.0343,12.1003,964.323,-337.47,11.178,458.83,1.11,2098.436,219.322,-110.469,108.853
14602,923,1133,6439,4068,7362,14427,2357,0.440966991,1.012130034,0.278591974,0.404461048,0.223491924,3.64,18202,117,319,40691.5402,-0.2861,-102,1970,42,1679,6.07,18202,3232,-2185,1047
4303.499,5.634,0,722.802,446.239,620.991,1890.632,2291.229,0.167956818,2.276222448,0.103692135,0.350709024,0.252016606,0,1770.673,2412.867,20.664,3581.3575,44.7371,2409.318,135.085,3.95,185.402,2.63,1770.673,414.038,-64.768,349.27
1270.42,60.017,21.963,406.475,-11.225,28.943,632.878,314.301,0.319953244,2.007369509,-0.008835661,0.077266842,-0.029966496,0,374.585,637.542,45.96,238.0839,16.7193,472.754,112.168,0.61,22.939,-4.65,374.585,-23.884,-195.566,-219.45
6077.4,5.2,648.7,1833.7,428.4,428.4,4309.2,546.7,0.301724422,1.410331384,0.07049067,0.278670396,0.278670396,1.96,1537.3,1768.2,77.2,2909.7947,38.733,1768.2,142,3.296,202.3,3.45,1537.3,328.3,275.8,604.1
12271.528,5039.322,949.494,3383.581,1419.309,2911.098,6169.459,4750.776,0.275726136,1.989076838,0.115658702,0.494589011,0.241137411,1.2,5885.893,6102.069,134.773,13466.4961,36.7945,5894.517,902.512,7.5,971.911,5.83,5885.893,1350.277,1595.745,2946.022
689.126,16.984,25.07,592.097,139.776,358.502,816.667,-378.783,0.859199914,0.843827411,0.202830832,0.58353354,0.227513331,0,614.364,-127.541,70.18,209.1413,-2.3038,-128.485,28.458,3.976,4.252,0.1,614.364,79.19,-107.848,-28.658
2984.1,281.9,21.4,956.2,589.2,986,1890.1,2296.9,0.320431621,1.578805354,0.197446466,0.262940345,0.15712419,1.32,3749.9,1094,38.8,6525.48,8.1768,1091.6,363.3,21.3,519.6,2.53,3749.9,552.6,-402.2,150.4
15361.781,1329.529,1804.564,4470.976,1368.098,2499.577,8150.214,4305.947,0.29104542,1.884831613,0.089058554,0.228271893,0.124940468,0.16,10949.999,7211.567,281.394,9703.7956,29.965,7026.042,911.496,8.335,10628.694,4.18,10949.999,507.804,-250.883,256.921
45071.307,3807.558,7738.218,6959.743,1292.542,2122.9,34305.849,4956.088,0.154416268,1.313808237,0.028677713,0.195204636,0.118851661,0.25,10875.254,10428.649,921.34,8356.6313,28.1786,10128.1,-2.158,13,15596.221,0.34,10875.254,603.641,230.906,834.547
